Activity ID,Activity Name,Activity Type,Start Time,Duration (minutes),Distance (km),Calories,Average Heart Rate,Max Heart Rate,Average Speed (km/h),Max Speed (km/h),Elevation Gain (m),Average Cadence,Max Cadence,Average Power,Max Power,Training Effect,Average Temperature,Weather,Location Name
19052426169,Strength,strength_training,2025-05-07 16:16:43,33.64,,225.0,109.0,133.0,,,,,,,,0.800000011920929,,,
19048200985,Copenhagen - Fitness Test: Threshold Pace and,running,2025-05-07 06:45:35,35.14,8.16,559.0,154.0,169.0,13.94,16.56,74.4213462471962,,,,,3.700000047683716,,,Copenhagen
19038044973,Copenhagen - Fitness Test: FTP and Threshold,cycling,2025-05-06 06:44:16,50.63,24.74,606.0,141.0,170.0,29.31,45.82,24.511420100927353,,,,,3.0,,,Copenhagen
19033056031,Copenhagen Running,running,2025-05-05 17:09:54,39.41,7.53,520.0,140.0,147.0,11.46,12.97,66.75372362136841,,,,,2.700000047683716,,,Copenhagen
19028622073,Pool Swim: Endurance/Technique,lap_swimming,2025-05-05 06:44:25,62.01,2.08,432.0,132.0,157.0,2.31,6.13,,,,,,2.200000047683716,,,
19009463093,Copenhagen - Aerobic Endurance Run,running,2025-05-03 08:26:18,111.39,21.24,1609.0,161.0,182.0,11.44,13.98,125.87252485752106,,,,,4.300000190734863,,,Copenhagen
19004584932,Copenhagen - Run Off The Bike Faster at First,running,2025-05-02 18:38:21,20.7,4.37,320.0,166.0,184.0,12.68,15.15,6.048568964004517,,,,,3.0,,,Copenhagen
19004291058,Copenhagen - Endurance Ride With Sub Threshol,cycling,2025-05-02 14:42:01,212.73,100.68,1886.0,139.0,163.0,28.39,47.4,415.2826282978058,,,,,3.200000047683716,,,Copenhagen
18994648860,Pool Swim: Threshold Efforts,lap_swimming,2025-05-01 16:52:55,65.23,2.4,481.0,124.0,142.0,2.43,3.29,,,,,,2.0,,,
18977880164,Copenhagen - IRONMAN 70.3 Sustaining Pace,running,2025-04-30 06:36:06,58.28,12.2,902.0,157.0,185.0,12.56,15.58,80.31169259548187,,,,,4.199999809265137,,,Copenhagen
18971878852,Pool Swim: Aerobic Endurance,lap_swimming,2025-04-29 15:56:57,68.35,2.38,479.0,123.0,147.0,2.39,6.31,,,,,,1.899999976158142,,,
18962394564,Copenhagen Running,running,2025-04-28 17:15:31,56.41,11.56,800.0,138.0,160.0,12.3,18.34,129.63018202781677,,,,,3.4000000953674316,,,Copenhagen
18957236560,Copenhagen - IRONMAN 70.3 Power Ups,cycling,2025-04-28 06:51:27,62.22,30.75,644.0,133.0,163.0,29.66,39.37,26.817645229399204,,,,,2.4000000953674316,,,Copenhagen
18938294253,Copenhagen - Aerobic Endurance Run,running,2025-04-26 09:34:04,103.3,19.12,1440.0,158.0,181.0,11.1,13.33,105.99529096484184,,,,,4.0,,,Copenhagen
18932890540,Copenhagen - Run Off The Bike Faster at First,running,2025-04-25 18:16:25,21.26,4.32,330.0,163.0,180.0,12.19,28.75,13.4358429312706,,,,,3.0,,,Copenhagen
18932646230,Copenhagen - Endurance Ride With Sub Threshol,cycling,2025-04-25 14:52:10,188.6,90.94,1651.0,137.0,161.0,28.93,47.7,361.69052052497864,,,,,3.0,,,Copenhagen
18922661379,Pool Swim: Threshold Efforts,lap_swimming,2025-04-24 16:11:38,63.34,2.35,523.0,118.0,145.0,2.48,11.12,,,,,,1.399999976158142,,,
18908438254,Copenhagen - IRONMAN 70.3 Sustaining Pace,running,2025-04-23 06:28:31,56.39,11.46,832.0,136.0,157.0,12.19,14.98,54.0839102268219,,,,,3.700000047683716,,,Copenhagen
18902705427,Pool Swim: Aerobic Endurance,lap_swimming,2025-04-22 15:51:04,66.93,2.5,502.0,135.0,157.0,2.38,4.34,,,,,,2.4000000953674316,,,
18893908841,Copenhagen - IRONMAN 70.3 Power Ups,cycling,2025-04-21 17:23:15,60.23,30.36,740.0,144.0,170.0,30.24,39.0,16.68830816447735,,,,,3.0999999046325684,,,Copenhagen
18869513496,Cardio,indoor_cardio,2025-04-19 08:13:28,45.88,,355.0,117.0,161.0,,,,,,,,1.5,,,
